Yo'nalishlar,Ta’lim texnikasi
Differensial tenglamalar,Taqqoslash usuli
Mаtematik tahlil ,klaster metodi
Matematik fizika va funksional analiz,Analogiya metodi
Algebra va geometriya ,Fikriy hujum metodi
Differensial tenglamalar,Taqqoslash usuli
Dasturiy injiniring,6x6x6 metodi
Differensial tenglamalar,klaster metodi
Matematik fizika va funksional analiz,Analogiya metodi
Algebra va geometriya ,Deduksiya metodi
Mаtematik tahlil ,Deduksiya metodi
Matematik fizika va funksional analiz,Analogiya metodi
Matematik fizika va funksional analiz,klaster metodi
Dasturiy injiniring,6x6x6 metodi
Ehtimollar nazariyasi,Analogiya metodi
Algebra va geometriya ,Fikriy hujum metodi
Sun’iy intellekt,Fikriy hujum metodi
Matematik fizika va funksional analiz,Deduksiya metodi
Ehtimollar nazariyasi,Taqqoslash usuli
Sun’iy intellekt,6x6x6 metodi
Algebra va geometriya ,Deduksiya metodi
Kompyuter ilmlari ,Taqqoslash usuli
Ehtimollar nazariyasi,Taqqoslash usuli
Matematik modellashtirish,zakovatli zukko metodi
Kompyuter ilmlari ,Fikriy hujum metodi
Dasturiy injiniring,klaster metodi
Differensial tenglamalar,Induksiya metodi
Mаtematik tahlil ,klaster metodi
Matematik modellashtirish,Induksiya metodi
Dasturiy injiniring,Analogiya metodi
Algebra va geometriya ,Fikriy hujum metodi
Dasturiy injiniring,Taqqoslash usuli
Differensial tenglamalar,6x6x6 metodi
Algebra va geometriya ,Induksiya metodi
Matematik modellashtirish,klaster metodi
Differensial tenglamalar,Taqqoslash usuli
Sun’iy intellekt,Induksiya metodi
Mаtematik tahlil ,Induksiya metodi
Matematik modellashtirish,zakovatli zukko metodi
Sun’iy intellekt,Induksiya metodi
Matematik modellashtirish,6x6x6 metodi
Algebra va geometriya ,Fikriy hujum metodi
Sun’iy intellekt,6x6x6 metodi
Mаtematik tahlil ,Deduksiya metodi
Differensial tenglamalar,Taqqoslash usuli
Matematik fizika va funksional analiz,Fikriy hujum metodi
Dasturiy injiniring,zakovatli zukko metodi
Kompyuter ilmlari ,Fikriy hujum metodi
