Yo'nalishlar,Ta’lim texnikasi,Python,Kompyuterli nigoh,Data mining,Web texnologiyalar,Suniy intellekt,o‘quvchilarning faolligi,natijasi
Differensial tenglamalar,Taqqoslash usuli,32,62,35,79,39,41,2
Mаtematik tahlil ,klaster metodi,34,52,39,73,31,38,2
Matematik fizika va funksional analiz,Analogiya metodi,42,69,31,94,92,55,2
Algebra va geometriya ,Fikriy hujum metodi,46,38,44,53,67,41,2
Differensial tenglamalar,Taqqoslash usuli,64,78,98,91,89,70,3
Dasturiy injiniring,6x6x6 metodi,79,38,63,64,30,46,2
Differensial tenglamalar,klaster metodi,69,93,51,89,93,66,3
Matematik fizika va funksional analiz,Analogiya metodi,40,43,89,59,64,49,2
Algebra va geometriya ,Deduksiya metodi,66,34,55,91,33,46,2
Mаtematik tahlil ,Deduksiya metodi,71,47,69,68,43,50,2
Matematik fizika va funksional analiz,Analogiya metodi,61,80,67,52,92,59,2
Matematik fizika va funksional analiz,klaster metodi,44,54,46,95,82,54,2
Dasturiy injiniring,6x6x6 metodi,80,68,80,99,35,60,2
Ehtimollar nazariyasi,Analogiya metodi,96,36,80,71,93,63,3
Algebra va geometriya ,Fikriy hujum metodi,44,58,62,56,65,48,2
Sun’iy intellekt,Fikriy hujum metodi,58,67,86,56,84,58,2
Matematik fizika va funksional analiz,Deduksiya metodi,62,97,95,39,34,54,2
Ehtimollar nazariyasi,Taqqoslash usuli,67,42,60,76,81,54,2
Sun’iy intellekt,6x6x6 metodi,85,44,58,37,34,43,2
Algebra va geometriya ,Deduksiya metodi,58,76,97,74,31,56,2
Kompyuter ilmlari ,Taqqoslash usuli,56,65,65,55,72,52,2
Ehtimollar nazariyasi,Taqqoslash usuli,56,98,49,40,67,52,2
Matematik modellashtirish,zakovatli zukko metodi,35,52,76,75,41,46,2
Kompyuter ilmlari ,Fikriy hujum metodi,42,91,89,72,97,65,3
Dasturiy injiniring,klaster metodi,34,66,60,38,80,46,2
Differensial tenglamalar,Induksiya metodi,58,69,70,40,52,48,2
Mаtematik tahlil ,klaster metodi,30,75,50,65,83,50,2
Matematik modellashtirish,Induksiya metodi,86,30,92,83,84,62,3
Dasturiy injiniring,Analogiya metodi,69,44,50,76,82,54,2
Algebra va geometriya ,Fikriy hujum metodi,38,81,86,55,70,55,2
Dasturiy injiniring,Taqqoslash usuli,64,92,54,67,31,51,2
Differensial tenglamalar,6x6x6 metodi,36,63,46,72,88,51,2
Algebra va geometriya ,Induksiya metodi,80,83,53,54,81,58,2
Matematik modellashtirish,klaster metodi,99,62,78,58,92,65,3
Differensial tenglamalar,Taqqoslash usuli,51,55,57,78,78,53,2
Sun’iy intellekt,Induksiya metodi,49,92,90,78,30,56,2
Mаtematik tahlil ,Induksiya metodi,42,80,85,91,61,60,2
Matematik modellashtirish,zakovatli zukko metodi,59,58,78,74,59,55,2
Sun’iy intellekt,Induksiya metodi,45,69,48,47,30,40,2
Matematik modellashtirish,6x6x6 metodi,76,95,67,80,92,68,3
Algebra va geometriya ,Fikriy hujum metodi,33,30,37,58,84,40,2
Sun’iy intellekt,6x6x6 metodi,32,61,39,63,84,46,2
Mаtematik tahlil ,Deduksiya metodi,61,79,36,37,94,51,2
Differensial tenglamalar,Taqqoslash usuli,86,96,88,83,96,75,4
Matematik fizika va funksional analiz,Fikriy hujum metodi,80,37,63,64,61,51,2
Dasturiy injiniring,zakovatli zukko metodi,75,45,97,66,83,61,3
Kompyuter ilmlari ,Fikriy hujum metodi,43,84,77,36,36,46,2
Mаtematik tahlil ,Fikriy hujum metodi,62,52,48,48,65,46,2
Sun’iy intellekt,klaster metodi,58,89,31,30,76,47,2
Matematik fizika va funksional analiz,Fikriy hujum metodi,98,49,40,31,96,52,2
Mаtematik tahlil ,zakovatli zukko metodi,41,49,34,66,67,43,2
Sun’iy intellekt,6x6x6 metodi,38,82,73,53,59,51,2
