Ta’lim texnikasi,o‘quvchilarning faolligi,natijasi
Analogiya metodi,98,5
klaster metodi,60,3
Fikriy hujum metodi,58,2
Induksiya metodi,58,2
klaster metodi,57,2
Deduksiya metodi,90,5
Taqqoslash usuli,84,4
Induksiya metodi,86,5
Taqqoslash usuli,88,5
6x6x6 metodi,86,5
Deduksiya metodi,84,4
Deduksiya metodi,61,3
Induksiya metodi,43,2
Deduksiya metodi,52,2
Fikriy hujum metodi,70,3
Deduksiya metodi,77,4
Taqqoslash usuli,60,3
Taqqoslash usuli,63,3
klaster metodi,60,3
Taqqoslash usuli,87,5
klaster metodi,83,4
Taqqoslash usuli,84,4
Fikriy hujum metodi,79,4
zakovatli zukko metodi,71,3
klaster metodi,65,3
Analogiya metodi,31,2
6x6x6 metodi,58,2
Induksiya metodi,52,2
Taqqoslash usuli,50,2
Deduksiya metodi,64,3
